编号,标准问题,答案,所属分类
1,什么是“检务公开”？,“检务公开”是指检察机关依法向社会和诉讼参与人公开与检察职权相关的、不涉及国家秘密和个人隐私等的有关活动和事项。它是司法公开的重要组成部分，是检察机关为推进司法民主、自觉接受人民群众和社会各界监督而采取的一项重要举措。,检务公开
2,实行“检务公开”有什么意义？,实行“检务公开”，是检察机关全面贯彻落实科学发展观，推动检察工作科学发偎的具体体现；是落实依法治国基本方略，实现司法为民、司法便民、司法护民，保障公民合法权益的有力举措；是坚持和发展社会主义民主，建设社会主义政治文明，保障社会公平和正义，构建社会主义和谐社会的必然要求;是坚持“强化法律监督、维护公平正义”的检察工作主题，正确履行检察职能，接受社会监督，保障人民群众实现宪法赋予的知情权、参与权、监督权等民主权利的有效途径；是推进检察改革，增强检察工作透明度，提高办事效率，促进严格、公正、文明执法，提高检察官素质和执法水平的重要保障。,检务公开
3,"实行""检务公开”应当遵循哪些原则？",实行“检务公开”应当遵循以下四项原则：一是严格依法原则。按照法律和有关司法解释规定，对应当向社会和诉讼参与人公开与检察职权相关的活动和事项都要予以公开。二是真实充分原则。除因涉及国家秘密等原因外，对依法应该公开的事项，都要充分公开、如实公开。三是及时便民原则。检察机关应当采取多种形式，向社会和诉讼参与人公布、宣传“检务公开的内容，以便于当事人行使知情权、参与权和监督权。四是开拓创新原则。随着国家的法治进步，“检务公开”的内容、范围、方式和途径等也应不断丰富、不断完善。,检务公开
4,最高人民检察院《关于进一步深化人民检察院“检务公开”的意见》充实完善了哪些内容？,最高人民检察院《关于进一步深化人民检察院“检务公开”的意见》，在1998年“检务十公开”的基础上，从十三个方面进行了充实完善：一是检察官的任职资格和管理，二是检察人员任职回避和公务回避，三是人民检察院保障律师在刑事诉讼中依法执业的规定，四是在刑事诉讼活动中开展法律援助工作的规定，五是不起诉案件公开审查规则，六是普通程序简化审理“被告人认罪案件”程序，七是适用简易程序审理公诉案件的程序，八是人民检察院刑事申诉案件公开审查程序规定，九是国家刑事赔偿的规定，十是民事行政抗诉案件办案规则，十一是检察机关人民监督员制度试点工作的规定，十二是检察工作纪律和检察官职业道德规范，十三是其他依法应当予以公开的内容。,检务公开
5,落实“检务公开”需要严格执行哪些工作制度？,"落实“检务公开”需要严格执行以下八项工作制度：一是要严格执行诉讼权利义务告知制度。对各个诉讼环节的诉讼参与人必须依法告知权利义务，并将告知的内容通过办案笔录、诉讼文书、工作文书等予以明确记载。主动公开依法可以公开的诉讼程序、诉讼期限等信息，同时根据有关诉讼参与人的申请，可以有针对性地公开有关内容。三是完善定期通报和新闻发言人制度。省级以上人民检察院应当建立新闻发言人制度^各级人民检察院要定期通报有关情况，增强检察工作的透明度，自觉接受人民群众和社会各界的监督。四是充分发挥人民监督员和专家咨询委员的作用。这样可以增强检察决策的民主化，提高捡察机关的社会公信力。五是建立责任追究制度。对于检察人员严重违反“检务公开”规定，不履行告知义务而影响诉讼参与人行使权利的，应当予以追究；情节严重的，要按照《检察人员纪律处分条例（试行）》严肃处理。六是建立监督保障机制。健全“检务公开”的监督、检查机制，同时提供必要的组织、物质条件，保障“检务公开”持续、有序、深入开展。	k七是妥善处理公开与保密的关系。除了依法应当公开的内容外，在检察工作中，有关涉及国家秘密、商业秘密、个人隐私、未成年人案件、检察委员会讨论的内部情况等，不得对外公开。八是尊重少数民族语言。在民族自治地方和少数民族聚居区，“检务公开”除使用汉语语言文字外，还要有少数民族语言文字版，做到汉语和少数民族语言并重。",检务公开
6,第二部分科学发展观和社会主义法治理念检察工作要树立哪些与科学发展观要求相适应的执法观念？,科学发展观是关于发展的世界观和方法论，是中国特色社会主义理论体系的重要组成部分。检察工作贯彻落实科学发展观，要树立以下四种与科学发展观要求相适应的执法观念：一要牢固树立推动科学发展、促进社会和谐的大局观，始终把检察工作放到中国特色社会主义事业发展全局中谋划和推进，自觉服务于社会主义经济建设、政治建设、文化建设、社会建设以及生态文明建设。二要牢固树立一热为本、执法为民的执法观，始终以人民满意为标准，贴近群众，依靠群众，服务群众，切实把严格执法、公正执法、文明执法统一到为民执法的工作中去。三要牢固树立办案力度、质量、效率、效果相统一■的政绩观，形成符合科学发展观和正确政绩观要求的执法导向。四要牢固树立监督者更要接受监督的权力观，既讲强化法律监督，又讲加强自身监督，切实防止检察权的滥用，以过硬的自身素质以及严格、公正、文明执法树立法律监督权威。,检务公开
7,检察工作科学发展的根本目标是什么？,检察机关要深入贯彻落实科学发展观，履行好宪法和法律赋予的职责，必须牢牢把握检察工作科学发展“一个保障，四个维护”的根本目标:一是保障经济社会又好又快发展，不断增强为发展服务的自觉性和坚定性，努力为经济社会又好又快发展提供有力的司法保障；二是维护社会和谐稳定，充分发挥打击预防犯罪、化解矛盾纠纷的职能作用，最大限度地促进社会和谐稳定；三是维护社会公平正义，切实把强化法律监督、维护公平正义作为根本任务来抓，不断满足全社会对公平正义的需要；四是维护人民权益，思民之所忧，做民之所盼，着力解决人民最关心、最直接、最现实的利益问题，为人民安居乐业提供有力的法治保障和法律服务；五是维护社会主义法制统一、尊严、权威，在坚持严格、公正、文明执法的同时，依法监督纠正各种执法不严、司法不公的突出问题，保障国家法律的统一正确实施。,检务公开
8,检察工作贯彻落实科学发展观需要正确认识和妥善处理哪些重大关系？,"检察工作贯彻落实科学发展观需要正确认识和妥善处理以下五个重大关系，以促进检察工作全面、协调、可持续发展：一要正确处理促进经济社会科学发展与实现检察工作科学发展的关系，把服务经济社会科学发展作为根本要求，并以实现检察工作科学发展为前提；二要正确处理业务建设、队伍建设与保障建设的关系，坚持以业务建设为中心，队伍建设为根本，保障建设为基础，统筹兼顾，互相促进；三要正确处理重点工作与基层基础工作的关系，善于从全局上总览和谋划，既突出重点，抓住关键，又加^虽基层基础工作，夯实检察工作科学发展的根基；	丨四要正确处理近期工作与长远发展的关系，既注重解决现实矛盾和问题，又以开阔眼界、战略思维和辩证观点谋划和推动检察工作长远发展；五要正确处理执法工作中的监督与配合、打击与保护、惩治与预防、实体与程序、刑事与民事、严格执行法律与贯彻党和国家政策等关系，全面正确履行各项法律监督职能，努力实现法律效果、政治效果和社会效果的有机统一。",检务公开
9,什么是社会主义法治理念？,社会主义法治理念实质上就是政法工作的指导思想。社会主义法治理念是以马克思列宁主义、毛泽东思想、邓小平理论和“三个代表”重要思想为指导，坚持科学发展观，在总结中国特色社会主义法治建设实践经验，合理借鉴中外法治文明发展的优秀成果的基础上形成的，是科学的、先进的理念，为当前和今后建设社会主义法治国家提供了正确的思想指南。社会主义法治理念的内容可概括为依法治国、执法为民、公平正义、服务大局、党的领导五个方面。其中，依法治国是核心内容，执法为民是本质要求，公平正义是价值追求，服务大局是童要使命，党的领导是根本保证。,检务公开
10,河南省人民检察院在检察工作中坚持党的领导有哪些明确要求？,坚持党的领导，是做好检察工作应遵循的根本原则。河南省人民检察院在检察工作中主要从四个方面坚持这一根本原则：一是坚持依法办事，确保公正司法;二是坚持重大工作部署和查办要案的党内请示报告制度，以便及时得到党委的领导和支持，确保检察工作取得良好效果；三是对党委从当地实际情况出发所作的重大工作部署和对检察工作的重要指示，要结合最高人民检察院和上级人民检察院的工作安排，认真研究，抓好落实，在促进改革发展稳定工作中发挥积极作用；四是深入调查研究，及时反映情况，通过调研报告、检察建议等形式，为党委当好参谋助手。,检务公开
11,河南省人民检察院在检察工作中自觉接受人大监督有哪些具体要求？,自觉接受人大监督，是正确发挥检察职责的重要保证。河南省人民检察院在检察工作中主要从五个方面认真落实：一是认真贯彻人大通过的各项决议，严格执行人大通过的各项法律法规和其他重要决定；二是认真落实报告和汇报制度，检察机关除每年一次向人民代表大会报告工作外，凡是重要的工作部署、工作中采取的重大措施等，都要及时向同级人大常委会汇报，听取意见；三是认真接受人大执法检查评议，积极主动配合，如实汇报情况，虚心听取意见，认真制定整改措施，逐项抓好落实；四是认真办理人大代表提出的建议以及人大常委会交办的案件、其他事项，按规定时限办结、反馈，对不能按时办结的，要及时报告工作进展情况；五是加强同人大代表的联系，通过邀请人大代表视察和参加专门座谈会等形式，听取其意见、建议，改进检察工作。,检务公开
12,检察工作服务大局的基本要求有哪些？,服务大局是检察工作的重要使命。检察工作要服务好大局必须把握好三个方面的基本要求：一是胸怀大局是前提，即要始终做到脑里想着大局，心里装着大局，准确把握大局，自觉服务大局；二是立足职能是基础，即不能脱离法定的职责去服务大局，把服务大局的各项措施落实到履行检察职责的全过程；三是正确履行职责是关键，即要把服务大局的着力点放在依法履行法律监督职责上，适应新的形势和任务，找准履行服务大局的结合点，不断探索服务大局的新途径、新方法。,检务公开
13,河南省人民检察院制定了哪些服务大局的重大措施？,围绕大局谋划和推进检察工作，既是检察工作科学发展的前提和基础，又是检察工作科学发展的重要目的。2003年以来，河南省人民检察院在充分发挥检察职能服务大局方面先后制定了五个规范性文件，在引导全省检察机关清醒把握大局、及时服务大局方面起到了重要作用。这五个规范性文件分别是：2003年制定下发的《河南省人民检察院关于为非公有制经济服务的意见》，2004年制定下发的《河南省人民检察院优化企业经营环境十项承诺》，2005年制定下发的《河南省人民检察院关于全面履行法律监督职能为构建和谐中原提供有力法治保障的意见》，2006年制定下发的《河南省人民检察院关于认真履行法律监督职能积极为社会主义新农村建设服务的意见》，2008年制定下发的《河南省人民检察院关于认真履行法律监督职能服务农村改革发展的意见》。,检务公开
14,我国检察机关是怎样建立和发展起来的？,我国检察机关产生于新民主主义革命时期。1931年11月7日，中华苏维埃共和国在江西瑞金成立，临时中央政府颁布了《中华苏维埃共和国中央苏维埃组织法》，制定了《裁判部暂行组织及裁判条例》，规定了检察机构的设置及职权。随后，中华苏维埃共和国中央工农检察人民委员部成立。1949年9月，中国人民政治协商会议第一届全体会议制定了《中国人民政治协商会议共同纲领》和《中华人民共和国中央人民政府组织法》，据此，中央人民政府组织最高人民检察署作为国家的最高检察机关。1954年9月，第一届全国人民代表大会第一次会议颁布了新中国第一部宪法，通过了《人民检察院组织法》，明确了检察机关在国家机构中的地位，改署为院，确立了检察机关的垂直领导体制。,检务公开
15,检察机关是什么时候恢复重建的？,“文化大革命”期间，检察机关被撤销，检察人员被遣散，检察工作被迫停止。1975年1月，第四届全国人民代表大会第一次会议通过的《宪法》规定“检察机关的职权由各级公安机关行使”，检察机关不仅在事实上而且在宪法上被撤销。“文化大革命”结束后，1978年3月，第五届全国人民代表大会第一次会议通过的《宪法》规定重新设置人民检察院。同年6月1日，最高人民检察院正式挂牌办公，标志着我国检察机关恢复重建。至1979年底，各级检察机关普遍组建起来。1978年7月17日，河南省人民检察院开始筹建，同年12月25日，开始对外办公。,检务公开
16,《宪法》对检察机关的性质是如何规定的？,《宪法》规定，人民检察院是国家的法律监督机关。人民检察院依照法律规定独立行使检察权，不受行政机关、社会团体和个人的干涉。,检务公开
17,《宪法》对检察机关的领导体制是如何规定的？,《宪法》规定，检察机关由人民代表大会产生，对它负责，受它监督。中华人民共和国设立最高人民检察院、地方各级人民检察院和军事检察院等专门人民检察院。最高人民检察院领导地方各级人民检察院和专门人民检察院的工作，上级人民检察院领导下级人民检察院的工作。最高人民检察院对全国人民代表大会和全国人民代表大会常务委员会负责。地方各级?人民检察院对产生它的国家权力机关和上级人民检察院负责。,检务公开
18,"中国特色社会主义检察制度的""中国特色”体现在哪些方面？",中国特色社会主义检察制度是以马克思主义法律观为指导，在紧密结合我国国情、总结我国社会主义检察实践成功经验、借鉴其他国家有益做法的基础上建立起来的，具有鲜明的中国特色：在检察制度的本质上，检察权来源于人民，服务于人民；在检察机关的宪法定位上，人民检察院是国家法律监督机关，由人民代表大会产生，对人民负责，受人民监督；在检察权的配置上，人民检察院不仅有公诉权，而且还有审查批准、决定逮捕、职务犯罪侦查以及对诉讼活动的法律监督等职权；在检察权的行使上，人民检察院既依法独立行使检察权，又接受党的领导、人大监督、政协监督、社会监督和群众监督，在办理刑事案件中与公安机关、人民法院分工负责、互相配合、互相制约。,检务公开
19,做好新时期检察工作需要坚持哪“五个必须”？,检察机关恢复重建30年来，积累了许多宝贵经验，为做好新时期检察工作奠定了坚实的思想基础。这些经验归结起来就是“五个必须”:一是必须坚持党对检察工作的统一领导，确保检察工作坚定正确的政治方向；二是必须坚持自觉接受各级人大和人民群众的监督，确保检察机关依法、独立、公正行使检察权；三是必须坚持检察机关的宪法定位，确保国家法律监督机关的职能得到充分发挥；四是必须坚持把人民满意作为检察工作的根本标准，确保人民群众对检察机关的新要求和新期待不断得到满足；五是必须坚持用社会主义法治理念武装检察干警头脑，确保检察队伍建设这一根本始终得到加强。,检务公开
20,当前和今后一个时期检察工作的总体思路和基本要求是什么？,根据党的十七大精神和胡锦涛总书记等中央领导同志对检察工作的重要指示精神，当前和今后一个时期检察工作的总体思路和基本要求是：高举中国特色社会主义伟大旗帜，深人学习实践科学发展观，坚持社会主义法治理念，坚持党的事业至上、人民利益至上、宪法法律至上，坚持“强化法律监督、维护公平正义”的检察工作主题，以维护人民利益为根本，以维护社会公平正义和社会和谐稳定为目标，不断深化检察体制和工作机制改革，不断完善中国特色社会主义检察制度，不断加强高素质检察队伍建设，不断提高检察工作水平，努力开创中国特色社会主义检察事业的新局面。,检务公开
21,深化司法体制和工作机制改革的目的是什么？,根据《中央政法委关于深化司法体制和工作机制改革若干问题的意见》，深化司法体制和工作机制改革的目的，就是要从人民群众的司法需求出发，以解决影响司法公正、制约司法能力的突出问题为重点，推进社会主义司法制度的自我完善和发展，建设公正、高效、权威的社会主义司法制度，为中国特色社会主义事业提供可靠的司法保障与和谐稳定的社会环境。,检务公开
22,深化检察体制和工作机制改革必须坚持哪些原则？,深化检察体制和工作机制改革必须坚持的原则是：坚持党对检察改革的统一领导，坚持人民检察院的宪法定位，坚持从国情出发，坚持群众路线，坚持依法推进改革。,检务公开
